date,account,total_closed_pnl,total_size,trades,buy_trades,sell_trades,daily_pnl_bucket,value,classification,sentiment_score,sentiment_bucket,classification_bin,sentiment_bin
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,208218.35486,17,9,8,positive,71.0,greed,71.0,greed,2,3
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,64502.1274,67,32,35,positive,70.0,greed,70.0,greed,2,3
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-67.60364,45.0958,5,2,3,low,68.0,greed,68.0,greed,2,3
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,164.141565,251.80766,66,31,35,positive,72.0,greed,72.0,greed,2,3
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002,7077.42664,22,11,11,positive,70.0,greed,70.0,greed,2,3
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-835.681235,165182.52107,97,52,45,negative,71.0,greed,71.0,greed,2,3
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-269.874439,108119.81523000001,128,40,88,negative,71.0,greed,71.0,greed,2,3
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-826.349863,129356.31168,70,28,42,negative,76.0,extreme greed,76.0,greed,2,3
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1517.091342,200302.43156,193,92,101,negative,73.0,greed,73.0,greed,2,3
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,1.0,2,2,0,low,76.0,extreme greed,76.0,greed,2,3
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-164.08950099999998,845.43972,19,11,8,negative,76.0,extreme greed,76.0,greed,2,3
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1925.519024,1542.27934,7,5,2,negative,71.0,greed,71.0,greed,2,3
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,152.85358,0.2513,9,0,9,positive,52.0,neutral,52.0,neutral,1,2
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,1.18062,5,5,0,low,52.0,neutral,52.0,neutral,1,2
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3238.8,1069.0,6,4,2,negative,64.0,greed,64.0,greed,2,3
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,939.6285419999999,1539.18062,3,0,3,positive,64.0,greed,64.0,greed,2,3
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,813.2741110000001,4055.02266,53,31,22,positive,60.0,greed,60.0,neutral,2,2
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,68.93319,93.72578,46,18,28,neutral,63.0,greed,63.0,greed,2,3
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-0.20400000000000001,0.62,9,4,5,low,51.0,neutral,51.0,neutral,1,2
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-385.215235,1754.1176,39,27,12,negative,51.0,neutral,51.0,neutral,1,2
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-146.57487000000003,256540.35666,106,60,46,negative,52.0,neutral,52.0,neutral,1,2
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,266.58114600000005,44252.23533,11,3,8,positive,56.0,greed,56.0,neutral,2,2
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1166.248788,144668.00048,48,28,20,positive,55.0,greed,55.0,neutral,2,2
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,209.39217099999996,12309.46819,37,23,14,positive,55.0,greed,55.0,neutral,2,2
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-369.2447299999998,87110.23871,45,33,12,negative,50.0,neutral,50.0,neutral,1,2
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2808.353815,48160.40059,68,27,41,negative,48.0,neutral,48.0,neutral,1,2
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-3093.6293849999997,756.8299999999999,6,0,6,negative,52.0,neutral,52.0,neutral,1,2
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,90.2,40000.0,2,1,1,neutral,49.0,neutral,49.0,neutral,1,2
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,55267.0,3,3,0,low,49.0,neutral,49.0,neutral,1,2
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-2478.06972,1068.0,11,0,11,negative,54.0,neutral,54.0,neutral,1,2
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1.71544,8368.0,2,1,1,neutral,55.0,greed,55.0,neutral,2,2
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,484.847102,229235.48712,72,20,52,positive,55.0,greed,55.0,neutral,2,2
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-173.65419100000003,91.43791999999999,49,28,21,negative,61.0,greed,61.0,greed,2,3
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-799.840817,42786.30905,859,470,389,negative,60.0,greed,60.0,neutral,2,2
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,44986.0,6,6,0,low,63.0,greed,63.0,greed,2,3
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,456.423473,42139.736820000006,42,19,23,positive,63.0,greed,63.0,greed,2,3
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,223.30918699999998,9661.26755,56,18,38,positive,60.0,greed,60.0,neutral,2,2
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,47.62389499999999,20905.14109,35,19,16,neutral,60.0,greed,60.0,neutral,2,2
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-33.45419400000003,29741.6286,72,33,39,low,60.0,greed,60.0,neutral,2,2
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-215.615907,55455572.2847,1088,518,570,negative,64.0,greed,64.0,greed,2,3
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,241.24212,13261.9,15,7,8,positive,62.0,greed,62.0,greed,2,3
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,770.756024,5609953.100000001,10,2,8,positive,66.0,greed,66.0,greed,2,3
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,983.443176,26558.56903,34,23,11,positive,71.0,greed,71.0,greed,2,3
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,913.8817869999998,1017.55939,16,11,5,positive,70.0,greed,70.0,greed,2,3
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,559.44389,33158.0,14,0,14,positive,79.0,extreme greed,79.0,greed,2,3
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3639.3031690000003,114348.6,88,27,61,positive,74.0,greed,74.0,greed,2,3
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,191.29666400000002,46491.085289999995,23,7,16,positive,74.0,greed,74.0,greed,2,3
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1024.70728,25952.2,52,49,3,positive,72.0,greed,72.0,greed,2,3
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,816.0903969999999,22646.58529,11,3,8,positive,72.0,greed,72.0,greed,2,3
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5491.768834,12351603.2,170,105,65,positive,72.0,greed,72.0,greed,2,3
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,17259.94415,12,10,2,low,72.0,greed,72.0,greed,2,3
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1670.012358,203435.0,64,25,39,positive,76.0,extreme greed,76.0,greed,2,3
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,259.62944200000004,18845.10915,30,25,5,positive,76.0,extreme greed,76.0,greed,2,3
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,477.6248299999999,172143.4,97,38,59,positive,72.0,greed,72.0,greed,2,3
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4325.827543,247286.20084,95,38,57,positive,75.0,extreme greed,75.0,greed,2,3
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8.05898,24767.8,6,3,3,low,75.0,extreme greed,75.0,greed,2,3
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3053.31353,34136.00042,35,13,22,positive,72.0,greed,72.0,greed,2,3
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,210.315294,35646.0,4,0,4,positive,72.0,greed,72.0,greed,2,3
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1858.7985700000002,161181.94,21,6,15,positive,78.0,extreme greed,78.0,greed,2,3
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9999.6,1,1,0,low,78.0,extreme greed,78.0,greed,2,3
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3894.1050699999996,164500.00042,86,33,53,positive,74.0,greed,74.0,greed,2,3
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,5421.4,2,2,0,low,74.0,greed,74.0,greed,2,3
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1418.55293,43567.40042,143,131,12,positive,76.0,extreme greed,76.0,greed,2,3
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-30.7705,7900.0,5,2,3,low,74.0,greed,74.0,greed,2,3
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4416.8473,59878.0,37,27,10,positive,72.0,greed,72.0,greed,2,3
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,7418.0,2,0,2,low,72.0,greed,72.0,greed,2,3
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,312.130593,82586.68,55,33,22,positive,79.0,extreme greed,79.0,greed,2,3
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,576.38114,34708.2,8,0,8,positive,79.0,extreme greed,79.0,greed,2,3
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2503.747235,8904445.6,45,31,14,positive,82.0,extreme greed,82.0,greed,2,3
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8493.192736,4812456.18,109,60,49,positive,80.0,extreme greed,80.0,greed,2,3
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1320.804256,2740609.0,7,0,7,positive,80.0,extreme greed,80.0,greed,2,3
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409,25984676.0,137,37,100,positive,80.0,extreme greed,80.0,greed,2,3
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,630982.0,24,21,3,positive,80.0,extreme greed,80.0,greed,2,3
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,20751.0,7,7,0,negative,80.0,extreme greed,80.0,greed,2,3
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,48774887.74,79,36,43,positive,83.0,extreme greed,83.0,greed,2,3
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,26773.771643,36874369.92038,287,161,126,positive,82.0,extreme greed,82.0,greed,2,3
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1026.004099,18229.6,13,0,13,positive,82.0,extreme greed,82.0,greed,2,3
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19791.026041,44987293.0,180,55,125,positive,90.0,extreme greed,90.0,greed,2,3
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6814.825139,10955146.0,82,49,33,positive,75.0,extreme greed,75.0,greed,2,3
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4271.886236,3448270.8,67,19,48,positive,81.0,extreme greed,81.0,greed,2,3
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9949.501624,17984276.7,117,83,34,positive,84.0,extreme greed,84.0,greed,2,3
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2482.9272,32040.08,42,38,4,positive,79.0,extreme greed,79.0,greed,2,3
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3588.179495,139371.0,42,12,30,positive,82.0,extreme greed,82.0,greed,2,3
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3039.166,11404.0,8,1,7,positive,81.0,extreme greed,81.0,greed,2,3
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,1.5126,7,7,0,low,81.0,extreme greed,81.0,greed,2,3
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,65.480454,1.5126,1,0,1,neutral,88.0,extreme greed,88.0,greed,2,3
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3400.385378,563980.8,17,2,15,positive,88.0,extreme greed,88.0,greed,2,3
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,338.42832,6.9747,8,7,1,positive,83.0,extreme greed,83.0,greed,2,3
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5509.2545,10582244.0,35,13,22,positive,83.0,extreme greed,83.0,greed,2,3
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,388.830831,1143439.92,19,6,13,positive,83.0,extreme greed,83.0,greed,2,3
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,228.57984,7.4242,6,5,1,positive,81.0,extreme greed,81.0,greed,2,3
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,1112347.0,2,0,2,low,81.0,extreme greed,81.0,greed,2,3
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,429.683075,24.1983,14,10,4,positive,79.0,extreme greed,79.0,greed,2,3
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,73.61088,121.14,7,6,1,neutral,79.0,extreme greed,79.0,greed,2,3
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,427.8,2,2,0,low,79.0,extreme greed,79.0,greed,2,3
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,9.6233,12,12,0,low,77.0,extreme greed,77.0,greed,2,3
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1244.6384,19524.0,6,1,5,positive,77.0,extreme greed,77.0,greed,2,3
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,212.3193,366.7,1,0,1,positive,77.0,extreme greed,77.0,greed,2,3
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,2.6849,4,4,0,low,79.0,extreme greed,79.0,greed,2,3
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,842.799493,174762.0,10,5,5,positive,79.0,extreme greed,79.0,greed,2,3
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-174.00152,1498.4,10,8,2,negative,79.0,extreme greed,79.0,greed,2,3
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2593.147623,195513.8,59,23,36,positive,74.0,greed,74.0,greed,2,3
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3829.986976,2260.5712,10,6,4,positive,74.0,greed,74.0,greed,2,3
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,2.8186,1,1,0,low,78.0,extreme greed,78.0,greed,2,3
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2097.182,91580.0,23,22,1,positive,78.0,extreme greed,78.0,greed,2,3
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,238.326075,69030.0,4,3,1,positive,78.0,extreme greed,78.0,greed,2,3
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1297.018477,10235.8,19,15,4,positive,74.0,greed,74.0,greed,2,3
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1302.916428,15.9576,7,0,7,positive,75.0,extreme greed,75.0,greed,2,3
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20.599193,6.6556,7,6,1,neutral,81.0,extreme greed,81.0,greed,2,3
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3195.3074,33438.6,111,2,109,positive,81.0,extreme greed,81.0,greed,2,3
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,189.192,24.3878,27,12,15,positive,83.0,extreme greed,83.0,greed,2,3
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-38.78086,13698.000960000001,11,7,4,low,83.0,extreme greed,83.0,greed,2,3
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,5.7446,3,3,0,low,80.0,extreme greed,80.0,greed,2,3
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,227.85100799999998,398566.0,10,9,1,positive,80.0,extreme greed,80.0,greed,2,3
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.097404,24.4455,15,9,6,positive,79.0,extreme greed,79.0,greed,2,3
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1100.57514,517830.0,45,1,44,positive,75.0,extreme greed,75.0,greed,2,3
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,912.786145,11.002400000000002,13,0,13,positive,75.0,extreme greed,75.0,greed,2,3
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,38.3674,29,25,4,neutral,79.0,extreme greed,79.0,greed,2,3
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.122467,9563392.0,48,7,41,positive,79.0,extreme greed,79.0,greed,2,3
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.760812,65.6049,37,6,31,positive,79.0,extreme greed,79.0,greed,2,3
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,5892.5,4,4,0,low,79.0,extreme greed,79.0,greed,2,3
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,126.7884,1476.0,2,1,1,positive,71.0,greed,71.0,greed,2,3
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,834.0,2,2,0,low,71.0,greed,71.0,greed,2,3
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,28.284299999999998,32,0,32,low,70.0,greed,70.0,greed,2,3
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4444.4983010000005,52.7373,10,10,0,positive,79.0,extreme greed,79.0,greed,2,3
2024-04-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5296.433789,201736.0,82,7,75,positive,79.0,extreme greed,79.0,greed,2,3
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,965.5522159999999,6726.5,8,0,8,positive,79.0,extreme greed,79.0,greed,2,3
2024-04-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,236.33513399999998,20.4808,16,0,16,positive,75.0,extreme greed,75.0,greed,2,3
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,14.7128,23,0,23,low,78.0,extreme greed,78.0,greed,2,3
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,46.049,28,0,28,low,76.0,extreme greed,76.0,greed,2,3
2024-04-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1218.4267,11446.0,2,1,1,positive,76.0,extreme greed,76.0,greed,2,3
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,16.2979,3,0,3,low,80.0,extreme greed,80.0,greed,2,3
2024-04-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,5207.443414,102.5007,41,40,1,positive,78.0,extreme greed,78.0,greed,2,3
2024-04-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,389.743164,21.5697,16,14,2,positive,76.0,extreme greed,76.0,greed,2,3
2024-04-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,44.4583,21,21,0,low,79.0,extreme greed,79.0,greed,2,3
2024-04-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2237.798674,17075094.6,93,7,86,positive,79.0,extreme greed,79.0,greed,2,3
2024-04-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2830.444513,4845316.0,15,15,0,negative,79.0,extreme greed,79.0,greed,2,3
2024-04-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,48.201,18,18,0,low,72.0,greed,72.0,greed,2,3
2024-04-13,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6621.451755,7766192.0,71,28,43,positive,72.0,greed,72.0,greed,2,3
2024-04-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-36565.98544,196.6098,64,23,41,negative,72.0,greed,72.0,greed,2,3
2024-04-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,461.97292000000004,119939.4,43,23,20,positive,72.0,greed,72.0,greed,2,3
2024-04-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,15.909799999999999,3,3,0,low,74.0,greed,74.0,greed,2,3
2024-04-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3774.08872,262444.0,38,15,23,positive,74.0,greed,74.0,greed,2,3
2024-04-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,1360.0,1,0,1,low,65.0,greed,65.0,greed,2,3
2024-04-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2467.702221,237913.0,46,31,15,positive,65.0,greed,65.0,greed,2,3
2024-04-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2441.4683999999997,19114.0,14,13,1,positive,67.0,greed,67.0,greed,2,3
2024-04-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1946.4454620000001,109.9409,35,5,30,positive,66.0,greed,66.0,greed,2,3
2024-04-20,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,363821.0,20,20,0,low,66.0,greed,66.0,greed,2,3
2024-04-20,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3.8279000000000005,2,0,2,low,66.0,greed,66.0,greed,2,3
2024-04-22,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,14.9861,9,0,9,low,73.0,greed,73.0,greed,2,3
2024-04-23,0x4f93fead39b70a1824f981a54d4e55b278e9f760,759.2148159999999,60.3303,54,35,19,positive,71.0,greed,71.0,greed,2,3
2024-04-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,360.32138,187910.0,12,2,10,positive,71.0,greed,71.0,greed,2,3
2024-04-24,0x4f93fead39b70a1824f981a54d4e55b278e9f760,279.185907,43.8207,20,13,7,positive,72.0,greed,72.0,greed,2,3
2024-04-25,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,388621.0,68,68,0,low,72.0,greed,72.0,greed,2,3
2024-04-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,22.183,6,6,0,low,72.0,greed,72.0,greed,2,3
2024-04-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,41052.0,3,0,3,low,70.0,greed,70.0,greed,2,3
